OMEKA_PAR,cause,1665,1666,1667,1668,1669
Alhallows Barking,Chrisoms,0,2,0,0,1
Alhallows Breadstreet,Chrisoms,0,0,0,1,1
Alhallows Stayning,Chrisoms,0,0,0,0,2
Hackney Parish,Chrisoms,1,0,0,0,5
Lambeth Parish,Chrisoms,0,4,0,1,6
S Sepulchres Parish,Chrisoms,2,7,2,2,10
Saviours Southwark,Chrisoms,1,1,0,2,3
St Alphage,Chrisoms,1,0,0,0,0
St Andrew Holborn,Chrisoms,0,1,0,0,3
St Andrew Undershaft,Chrisoms,0,1,1,0,0
St Bartholomew Great,Chrisoms,0,1,0,0,0
St Botolph Aldgate,Chrisoms,0,16,7,5,36
St Botolph Billingsgate,Chrisoms,0,1,0,0,0
St Botolph Bishopsgate,Chrisoms,0,0,0,0,1
St Bridget,Chrisoms,1,0,0,0,1
St Clement Danes,Chrisoms,0,3,0,1,6
St Dunstan West,Chrisoms,0,0,0,0,2
St George Southwark,Chrisoms,0,0,0,0,2
St Giles Cripplegate,Chrisoms,0,1,0,1,1
St Giles in the Field,Chrisoms,0,0,0,1,2
St James Dukes place,Chrisoms,1,0,0,0,0
St Katharine Creechurch,Chrisoms,0,2,0,0,0
St Katharine Tower,Chrisoms,0,0,0,2,1
St Lawrence Pountney,Chrisoms,0,1,0,0,0
St Leonard Shoreditch,Chrisoms,0,5,1,4,4
St Magdalen Bermondsey,Chrisoms,1,1,0,0,2
St Margaret Westminster,Chrisoms,0,1,0,0,0
St Martin in the fields,Chrisoms,1,0,0,2,5
St Mary Aldermary,Chrisoms,0,0,0,0,1
St Mary Islington,Chrisoms,0,0,0,0,1
St Mary Newington,Chrisoms,0,4,0,3,5
St Mary Whitechappel,Chrisoms,0,6,0,1,3
St Olave Hartstreet,Chrisoms,0,0,1,0,1
St Olave Southwark,Chrisoms,0,3,0,3,3
St Peter Poor,Chrisoms,0,0,0,0,1
St Swithin,Chrisoms,0,0,0,0,1
Stepney Parish,Chrisoms,3,21,4,11,26
Trinity Minories,Chrisoms,0,0,0,0,2
