OMEKA_PAR,category,1665,1666,1667,1668,1669
Alhallows Barking,first_month,0,2,0,0,1
Alhallows Breadstreet,first_month,0,0,0,1,2
Alhallows Great,first_month,0,0,0,0,1
Alhallows Stayning,first_month,0,1,0,0,2
Hackney Parish,first_month,1,0,0,0,6
Lambeth Parish,first_month,0,5,0,1,7
Rothorith Parish,first_month,0,0,0,0,1
S Sepulchres Parish,first_month,2,9,2,3,14
Saviours Southwark,first_month,1,6,1,4,7
St Alphage,first_month,1,0,0,0,0
St Andrew Holborn,first_month,0,9,5,2,20
St Andrew Undershaft,first_month,0,1,1,0,0
St Andrew Wardrobe,first_month,1,0,0,0,0
St Bartholomew Great,first_month,0,1,0,0,0
St Botolph Aldersgate,first_month,1,1,0,0,3
St Botolph Aldgate,first_month,0,21,9,5,44
St Botolph Billingsgate,first_month,0,1,0,0,0
St Botolph Bishopsgate,first_month,0,5,1,0,11
St Bridget,first_month,1,1,0,0,1
St Clement Danes,first_month,0,5,0,2,6
St Dunstan West,first_month,0,0,0,0,2
St Ethelborough,first_month,0,0,0,1,1
St George Southwark,first_month,1,1,1,0,2
St Giles Cripplegate,first_month,0,8,2,9,12
St Giles in the Field,first_month,0,4,0,1,5
St Gregory by St Pauls,first_month,1,1,0,0,0
St Hellen,first_month,0,0,0,0,2
St James Clerkenwel,first_month,0,0,0,0,1
St James Dukes place,first_month,1,0,0,0,0
St James Garlickhithe,first_month,1,0,0,0,0
St Katharine Creechurch,first_month,0,2,0,0,2
St Katharine Tower,first_month,0,0,0,2,1
St Lawrence Pountney,first_month,0,1,0,0,0
St Leonard Shoreditch,first_month,0,7,1,7,8
St Magdalen Bermondsey,first_month,1,1,1,1,4
St Margaret Westminster,first_month,0,1,1,0,1
St Martin Outwich,first_month,0,1,0,0,0
St Martin in the fields,first_month,1,10,2,8,16
St Mary Aldermary,first_month,0,0,0,0,1
St Mary Bothaw,first_month,0,1,0,0,0
St Mary Islington,first_month,0,3,0,0,1
St Mary Newington,first_month,0,5,2,3,6
St Mary Sommerset,first_month,1,0,0,0,0
St Mary Whitechappel,first_month,0,11,1,1,11
St Olave Hartstreet,first_month,0,0,1,0,3
St Olave Southwark,first_month,0,20,2,6,5
St Paul Covent Garden,first_month,1,0,0,1,2
St Peter Poor,first_month,0,0,0,0,2
St Steven Colemanstreet,first_month,0,0,0,2,0
St Swithin,first_month,0,0,0,0,1
Stepney Parish,first_month,3,24,10,19,46
Trinity Minories,first_month,0,2,1,0,2
