OMEKA_PAR,cause,1665,1666,1667,1668,1669,category
Alhallows Breadstreet,Stilborne,0,0,0,0,1,first_month
Alhallows Great,Stilborne,0,0,0,0,1,first_month
Alhallows Stayning,Stilborne,0,1,0,0,0,first_month
Hackney Parish,Stilborne,0,0,0,0,1,first_month
Lambeth Parish,Stilborne,0,1,0,0,1,first_month
Rothorith Parish,Stilborne,0,0,0,0,1,first_month
S Sepulchres Parish,Stilborne,0,2,0,1,4,first_month
Saviours Southwark,Stilborne,0,5,1,2,4,first_month
St Andrew Holborn,Stilborne,0,8,5,2,17,first_month
St Andrew Wardrobe,Stilborne,1,0,0,0,0,first_month
St Botolph Aldersgate,Stilborne,1,1,0,0,3,first_month
St Botolph Aldgate,Stilborne,0,5,2,0,8,first_month
St Botolph Bishopsgate,Stilborne,0,5,1,0,10,first_month
St Bridget,Stilborne,0,1,0,0,0,first_month
St Clement Danes,Stilborne,0,2,0,1,0,first_month
St Ethelborough,Stilborne,0,0,0,1,1,first_month
St George Southwark,Stilborne,1,1,1,0,0,first_month
St Giles Cripplegate,Stilborne,0,7,2,8,11,first_month
St Giles in the Field,Stilborne,0,4,0,0,3,first_month
St Gregory by St Pauls,Stilborne,1,1,0,0,0,first_month
St Hellen,Stilborne,0,0,0,0,2,first_month
St James Clerkenwel,Stilborne,0,0,0,0,1,first_month
St James Garlickhithe,Stilborne,1,0,0,0,0,first_month
St Katharine Creechurch,Stilborne,0,0,0,0,2,first_month
St Leonard Shoreditch,Stilborne,0,2,0,3,4,first_month
St Magdalen Bermondsey,Stilborne,0,0,1,1,2,first_month
St Margaret Westminster,Stilborne,0,0,1,0,1,first_month
St Martin Outwich,Stilborne,0,1,0,0,0,first_month
St Martin in the fields,Stilborne,0,10,2,6,11,first_month
St Mary Bothaw,Stilborne,0,1,0,0,0,first_month
St Mary Islington,Stilborne,0,3,0,0,0,first_month
St Mary Newington,Stilborne,0,1,2,0,1,first_month
St Mary Sommerset,Stilborne,1,0,0,0,0,first_month
St Mary Whitechappel,Stilborne,0,5,1,0,8,first_month
St Olave Hartstreet,Stilborne,0,0,0,0,2,first_month
St Olave Southwark,Stilborne,0,17,2,3,2,first_month
St Paul Covent Garden,Stilborne,1,0,0,1,2,first_month
St Peter Poor,Stilborne,0,0,0,0,1,first_month
St Steven Colemanstreet,Stilborne,0,0,0,2,0,first_month
Stepney Parish,Stilborne,0,3,6,8,20,first_month
Trinity Minories,Stilborne,0,2,1,0,0,first_month
Alhallows Barking,Chrisoms,0,2,0,0,1,first_month
Alhallows Breadstreet,Chrisoms,0,0,0,1,1,first_month
Alhallows Stayning,Chrisoms,0,0,0,0,2,first_month
Hackney Parish,Chrisoms,1,0,0,0,5,first_month
Lambeth Parish,Chrisoms,0,4,0,1,6,first_month
S Sepulchres Parish,Chrisoms,2,7,2,2,10,first_month
Saviours Southwark,Chrisoms,1,1,0,2,3,first_month
St Alphage,Chrisoms,1,0,0,0,0,first_month
St Andrew Holborn,Chrisoms,0,1,0,0,3,first_month
St Andrew Undershaft,Chrisoms,0,1,1,0,0,first_month
St Bartholomew Great,Chrisoms,0,1,0,0,0,first_month
St Botolph Aldgate,Chrisoms,0,16,7,5,36,first_month
St Botolph Billingsgate,Chrisoms,0,1,0,0,0,first_month
St Botolph Bishopsgate,Chrisoms,0,0,0,0,1,first_month
St Bridget,Chrisoms,1,0,0,0,1,first_month
St Clement Danes,Chrisoms,0,3,0,1,6,first_month
St Dunstan West,Chrisoms,0,0,0,0,2,first_month
St George Southwark,Chrisoms,0,0,0,0,2,first_month
St Giles Cripplegate,Chrisoms,0,1,0,1,1,first_month
St Giles in the Field,Chrisoms,0,0,0,1,2,first_month
St James Dukes place,Chrisoms,1,0,0,0,0,first_month
St Katharine Creechurch,Chrisoms,0,2,0,0,0,first_month
St Katharine Tower,Chrisoms,0,0,0,2,1,first_month
St Lawrence Pountney,Chrisoms,0,1,0,0,0,first_month
St Leonard Shoreditch,Chrisoms,0,5,1,4,4,first_month
St Magdalen Bermondsey,Chrisoms,1,1,0,0,2,first_month
St Margaret Westminster,Chrisoms,0,1,0,0,0,first_month
St Martin in the fields,Chrisoms,1,0,0,2,5,first_month
St Mary Aldermary,Chrisoms,0,0,0,0,1,first_month
St Mary Islington,Chrisoms,0,0,0,0,1,first_month
St Mary Newington,Chrisoms,0,4,0,3,5,first_month
St Mary Whitechappel,Chrisoms,0,6,0,1,3,first_month
St Olave Hartstreet,Chrisoms,0,0,1,0,1,first_month
St Olave Southwark,Chrisoms,0,3,0,3,3,first_month
St Peter Poor,Chrisoms,0,0,0,0,1,first_month
St Swithin,Chrisoms,0,0,0,0,1,first_month
Stepney Parish,Chrisoms,3,21,4,11,26,first_month
Trinity Minories,Chrisoms,0,0,0,0,2,first_month
