OMEKA_PAR,cause,1665,1666,1667,1668,1669,category
Alhallows Great,Infant,0,1,0,0,0,first_year
Lambeth Parish,Infant,0,8,2,3,0,first_year
Rothorith Parish,Infant,0,2,0,2,1,first_year
Saviours Southwark,Infant,0,0,0,4,0,first_year
St Andrew Holborn,Infant,0,1,1,0,0,first_year
St Ann Blackfryers,Infant,0,0,0,0,1,first_year
St Bartholomew Exchange,Infant,0,0,0,0,2,first_year
St Bennet Gracechurch,Infant,0,0,0,0,1,first_year
St Botolph Aldgate,Infant,0,3,2,1,11,first_year
St Clement Danes,Infant,0,0,0,0,2,first_year
St Clement Eastcheap,Infant,0,2,0,0,0,first_year
St Ethelborough,Infant,0,0,0,0,1,first_year
St George Southwark,Infant,0,8,0,3,5,first_year
St Giles Cripplegate,Infant,0,3,0,0,3,first_year
St Giles in the Field,Infant,0,3,0,0,1,first_year
St Hellen,Infant,0,1,0,0,0,first_year
St James Dukes place,Infant,0,0,0,0,2,first_year
St Katharine Coleman,Infant,0,0,0,0,1,first_year
St Katharine Tower,Infant,0,8,3,4,9,first_year
St Lawrence Jewry,Infant,0,0,0,0,1,first_year
St Leonard Shoreditch,Infant,0,0,0,0,1,first_year
St Magdalen Bermondsey,Infant,0,3,0,0,0,first_year
St Margaret Pattons,Infant,0,0,0,0,1,first_year
St Margaret Westminster,Infant,0,0,0,1,0,first_year
St Martin Outwich,Infant,0,0,0,0,1,first_year
St Martin in the fields,Infant,1,0,0,0,0,first_year
St Mary Aldermanbury,Infant,0,0,0,0,1,first_year
St Mary Aldermary,Infant,0,0,0,0,1,first_year
St Mary Islington,Infant,0,3,1,0,0,first_year
St Mary Whitechappel,Infant,0,0,1,2,4,first_year
St Mary le Bow,Infant,0,1,0,0,0,first_year
St Michael Cornhil,Infant,0,1,0,0,0,first_year
St Olave Southwark,Infant,1,49,12,16,39,first_year
St Paul Covent Garden,Infant,1,0,0,0,0,first_year
St Peter Cornhil,Infant,0,2,0,0,0,first_year
St Peter Poor,Infant,0,1,0,0,0,first_year
Stepney Parish,Infant,0,0,0,1,3,first_year
Hackney Parish,Overlaid,0,1,0,0,0,first_year
Rothorith Parish,Overlaid,0,0,0,0,1,first_year
Saviours Southwark,Overlaid,0,2,0,1,8,first_year
St Andrew Holborn,Overlaid,0,0,0,0,1,first_year
St Botolph Aldgate,Overlaid,0,0,1,0,0,first_year
St Botolph Bishopsgate,Overlaid,0,0,0,0,2,first_year
St Clement Danes,Overlaid,0,0,0,0,1,first_year
St Dunstan West,Overlaid,1,0,0,0,0,first_year
St George Southwark,Overlaid,0,0,0,0,1,first_year
St Giles Cripplegate,Overlaid,0,4,0,1,6,first_year
St Giles in the Field,Overlaid,0,0,2,0,2,first_year
St Leonard Shoreditch,Overlaid,0,1,0,0,1,first_year
St Magdalen Bermondsey,Overlaid,0,0,0,1,1,first_year
St Martin Vintrey,Overlaid,0,1,0,0,0,first_year
St Mary Aldermary,Overlaid,0,0,0,0,1,first_year
St Mary Newington,Overlaid,0,0,0,0,1,first_year
St Mary Whitechappel,Overlaid,0,0,0,1,1,first_year
St Olave Southwark,Overlaid,0,0,1,0,0,first_year
Stepney Parish,Overlaid,0,0,0,1,0,first_year
St Mary Newington,Starved at Nurse,0,0,0,0,1,first_year
St Michael Queenhithe,Starved at Nurse,0,0,0,0,1,first_year
St Margaret Westminster,Collick,0,1,0,0,0,first_year
St Martin in the fields,Collick,0,1,0,0,0,first_year
