OMEKA_PAR,1665,1666,1667,1668,1669,total_deaths
Alhallows Barking,0,2,0,0,1,3
Alhallows Breadstreet,0,0,0,1,2,3
Alhallows Great,0,1,0,0,1,2
Alhallows Stayning,0,1,0,0,2,3
Alhallows the Wall,0,1,0,0,1,2
Hackney Parish,1,1,0,0,6,8
Lambeth Parish,0,13,2,4,7,26
Rothorith Parish,0,2,0,2,3,7
S Sepulchres Parish,2,9,2,3,15,31
Saviours Southwark,1,8,1,9,15,34
St Alphage,1,0,0,0,0,1
St Andrew Holborn,0,10,6,2,26,44
St Andrew Undershaft,0,1,1,2,0,4
St Andrew Wardrobe,1,0,0,0,0,1
St Ann Blackfryers,0,0,0,0,1,1
St Bartholomew Exchange,0,0,0,0,2,2
St Bartholomew Great,0,1,0,0,0,1
St Bennet Gracechurch,0,0,0,0,1,1
St Botolph Aldersgate,1,1,0,1,3,6
St Botolph Aldgate,0,24,12,6,55,97
St Botolph Billingsgate,0,1,0,0,0,1
St Botolph Bishopsgate,0,5,1,2,16,24
St Bridget,2,1,0,0,1,4
St Clement Danes,0,5,0,2,10,17
St Clement Eastcheap,0,2,0,0,0,2
St Dunstan West,2,0,0,0,2,4
St Ethelborough,0,0,0,1,2,3
St George Southwark,1,12,1,4,8,26
St Giles Cripplegate,0,16,3,12,21,52
St Giles in the Field,0,7,2,1,9,19
St Gregory by St Pauls,1,1,0,0,0,2
St Hellen,0,1,0,0,2,3
St James Clerkenwel,0,0,0,0,1,1
St James Dukes place,2,0,0,0,2,4
St James Garlickhithe,1,0,0,0,0,1
St Katharine Coleman,0,0,0,0,1,1
St Katharine Creechurch,0,3,0,0,2,5
St Katharine Tower,0,8,3,6,10,27
St Lawrence Jewry,0,0,0,0,1,1
St Lawrence Pountney,0,1,0,0,0,1
St Leonard Fosterlane,0,0,0,0,1,1
St Leonard Shoreditch,0,8,1,7,10,26
St Magdalen Bermondsey,1,4,1,2,5,13
St Margaret Pattons,0,0,0,0,1,1
St Margaret Westminster,0,2,1,1,1,5
St Martin Outwich,0,1,0,0,1,2
St Martin Vintrey,0,1,0,0,0,1
St Martin in the fields,2,12,2,14,23,53
St Mary Aldermanbury,0,0,0,0,1,1
St Mary Aldermary,0,0,0,0,3,3
St Mary Bothaw,0,1,0,0,0,1
St Mary Islington,0,12,1,0,1,14
St Mary Newington,0,6,2,4,8,20
St Mary Sommerset,1,0,0,0,0,1
St Mary Whitechappel,0,11,2,4,16,33
St Mary le Bow,0,1,0,0,0,1
St Michael Cornhil,0,1,0,0,0,1
St Michael Queenhithe,0,0,0,0,3,3
St Olave Hartstreet,0,0,1,1,3,5
St Olave Southwark,1,69,15,22,44,151
St Paul Covent Garden,2,0,0,2,2,6
St Peter Cornhil,0,2,0,0,0,2
St Peter Poor,0,2,0,0,2,4
St Steven Colemanstreet,0,0,0,2,1,3
St Swithin,0,0,0,0,1,1
St Thomas Southwark,0,0,0,0,1,1
Stepney Parish,3,24,10,21,50,108
Trinity Minories,0,2,1,0,2,5
