OMEKA_PAR,cause,1665,1666,1667,1668,1669
Alhallows Great,Infant,0,1,0,0,0
Lambeth Parish,Infant,0,8,2,3,0
Rothorith Parish,Infant,0,2,0,2,1
Saviours Southwark,Infant,0,0,0,4,0
St Andrew Holborn,Infant,0,1,1,0,0
St Ann Blackfryers,Infant,0,0,0,0,1
St Bartholomew Exchange,Infant,0,0,0,0,2
St Bennet Gracechurch,Infant,0,0,0,0,1
St Botolph Aldgate,Infant,0,3,2,1,11
St Clement Danes,Infant,0,0,0,0,2
St Clement Eastcheap,Infant,0,2,0,0,0
St Ethelborough,Infant,0,0,0,0,1
St George Southwark,Infant,0,8,0,3,5
St Giles Cripplegate,Infant,0,3,0,0,3
St Giles in the Field,Infant,0,3,0,0,1
St Hellen,Infant,0,1,0,0,0
St James Dukes place,Infant,0,0,0,0,2
St Katharine Coleman,Infant,0,0,0,0,1
St Katharine Tower,Infant,0,8,3,4,9
St Lawrence Jewry,Infant,0,0,0,0,1
St Leonard Shoreditch,Infant,0,0,0,0,1
St Magdalen Bermondsey,Infant,0,3,0,0,0
St Margaret Pattons,Infant,0,0,0,0,1
St Margaret Westminster,Infant,0,0,0,1,0
St Martin Outwich,Infant,0,0,0,0,1
St Martin in the fields,Infant,1,0,0,0,0
St Mary Aldermanbury,Infant,0,0,0,0,1
St Mary Aldermary,Infant,0,0,0,0,1
St Mary Islington,Infant,0,3,1,0,0
St Mary Whitechappel,Infant,0,0,1,2,4
St Mary le Bow,Infant,0,1,0,0,0
St Michael Cornhil,Infant,0,1,0,0,0
St Olave Southwark,Infant,1,49,12,16,39
St Paul Covent Garden,Infant,1,0,0,0,0
St Peter Cornhil,Infant,0,2,0,0,0
St Peter Poor,Infant,0,1,0,0,0
Stepney Parish,Infant,0,0,0,1,3
